ano,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-6.666666666666665,48.92086330935253,2.863961813842475,18.181818181818187,4.2025862068965525,-1.3675213675213627,44.902912621359214,9.939759036144569,-2.6988636363636354,19.444444444444443,20.388921626399537,48.80952380952381,11.983471074380159,-1.869158878504673,-5.797101449275366,1.2345679012345734,28.440366972477072,4.269449715370022,-47.352395360564806,44.512195121951216,17.894736842105253,107.8125,-1.412429378531077,6.2318840579710155,14.54545454545455,1.1591082402547803,-1.5503875968992276
2012,121.42857142857144,35.7487922705314,-20.881670533642694,144.23076923076925,2.6887280248190315,-2.0797227036395194,-24.288107202680067,-14.520547945205475,18.54014598540146,5.6478405315614655,-8.370044052863435,-27.200000000000003,31.734317343173423,41.90476190476191,5.8461538461538565,6.233062330623307,-0.3571428571428559,7.734303912647866,82.85405583514209,-13.924050632911388,30.35714285714286,-13.533834586466165,-28.36676217765043,39.69986357435198,27.777777777777768,4.447839158544475,0.7874015748031482
2013,-16.129032258064512,1.7793594306049876,13.489736070381241,-11.811023622047244,12.18529707955689,8.495575221238937,30.08849557522124,43.58974358974359,4.187192118226601,22.64150943396226,-36.477510683760684,23.076923076923084,-12.324929971988796,2.0134228187919545,37.5,28.57142857142858,11.827956989247301,-3.716216216216217,-38.64824515453117,89.21568627450979,-5.47945205479452,114.78260869565217,11.440000000000005,-7.91015625,22.360248447204967,206.3595201755932,18.75
2014,117.30769230769229,-3.4965034965035002,14.470284237726094,-9.82142857142857,-7.899461400359065,-2.1207177814029365,-31.80272108843537,3.3482142857142794,1.3002364066193817,-25.384615384615383,11.104738630658595,6.547619047619047,0.6389776357827559,2.412280701754388,6.976744186046502,-13.888888888888884,-6.08974358974359,3.421052631578947,-2.7490490563137904,-14.24870466321243,31.8840579710145,-46.15384615384615,7.968413496051685,-2.120890774125128,43.65482233502538,-67.1973758787605,-0.6578947368421018
2015,-17.699115044247794,-15.217391304347828,-6.094808126410833,-0.990099009900991,0.29239766081872176,22.33333333333334,56.10972568578554,5.399568034557234,13.652275379229861,7.560137457044669,-7.187903045128941,-25.977653631284912,2.857142857142847,-5.567451820128477,-11.067193675889332,1.6129032258064502,9.55631399317407,4.664970313825267,0.1849855312693105,9.667673716012093,-2.7472527472527486,-33.08270676691729,4.720744680851063,21.885157096424713,-30.03533568904594,19.12525136455041,17.88079470198676
2016,15.053763440860223,2.564102564102555,16.58653846153846,11.00000000000001,18.85325558794946,11.44414168937329,-7.1884984025559095,6.557377049180335,10.266940451745388,42.81150159744409,4.341777127544177,47.169811320754704,50.92592592592593,24.716553287981856,21.333333333333336,9.523809523809534,-3.1152647975077885,4.457050243111826,5.6879455620160835,19.834710743801654,33.33333333333333,23.59550561797752,-11.809523809523814,-12.444444444444446,16.666666666666675,-1.0387298344912144,-4.49438202247191
2017,8.411214953271017,52.49999999999999,18.762886597938145,54.054054054054056,33.76941946034342,18.215158924205376,7.056798623063676,7.499999999999996,22.998137802607065,9.172259507829983,-66.1518164609298,5.384615384615388,11.042944785276077,23.818181818181827,19.23076923076923,42.54658385093168,59.80707395498393,13.576415826221888,7.731291577841515,30.34482758620689,-15.254237288135597,-4.545454545454541,-14.254859611231097,14.923857868020306,17.31601731601731,-8.080809890700602,17.05882352941177
2018,50.86206896551724,-5.191256830601088,-0.694444444444442,8.187134502923987,1.4058679706601573,4.446742502585321,-1.4469453376205754,11.985688729874777,3.709311127933379,9.631147540983598,201.81146034414277,2.676399026763998,-2.025782688766109,1.3215859030837107,-11.827956989247312,-5.228758169934644,-9.255533199195176,-62.07978142076502,-78.42213502742325,-20.63492063492064,2.0000000000000018,39.99999999999999,27.287993282955505,20.848056537102465,2.2140221402213944,3.8881015826479848,11.557788944723612
2019,3.4285714285714253,34.58213256484151,18.706293706293707,31.8918918918919,-49.35786618444846,11.386138613861396,26.75367047308319,23.482428115015974,10.364963503649637,9.719626168224305,-62.68395108765922,20.379146919431278,33.83458646616542,37.53623188405797,18.29268292682926,0.6896551724137945,11.308203991130817,2.8983053289909577,28.63318744582721,9.333333333333327,5.392156862745101,-0.6802721088435382,10.883905013192607,13.230994152046783,8.303249097472932,23.38281292511264,15.315315315315313
2020,-29.83425414364641,-33.19057815845824,-26.80412371134021,-40.57377049180327,61.756251539898074,-2.3111111111111082,-19.691119691119695,-14.489003880983187,-18.386243386243383,10.051107325383303,135.9864110155244,2.7559055118110187,-18.96067415730337,-19.81032665964173,-2.356406480117823,3.65296803652968,-26.693227091633464,-48.34273390261921,203.51998047844452,-21.95121951219512,-16.279069767441857,23.972602739726035,-11.064842355740634,-26.791478373143963,5.666666666666664,-33.48322979477315,-21.875
2021,31.496062992125996,81.73076923076923,59.55734406438631,26.89655172413794,-29.321707137601173,29.57233848953593,75.96153846153845,26.626323751891068,61.26418152350082,26.93498452012384,-48.105113816539955,17.24137931034482,26.51646447140381,32.19448094612352,41.47812971342384,32.59911894273129,77.17391304347827,122.33266008783824,-65.13925496197155,65.88541666666667,52.222222222222214,-7.734806629834257,-38.19377926421406,-42.501763668430335,43.217665615141954,57.96049758682735,38.5
2022,7.18562874251496,-21.340388007054678,0.12610340479193294,-3.804347826086951,-17.906692014100734,10.60393258426966,-21.03825136612022,13.739545997610513,-7.08542713567839,4.390243902439028,-3.269604232237322,2.777777777777768,1.6438356164383494,11.431411530815105,-9.06183368869936,-49.22198228128462,-13.80368098159509,5.975060854137548,29.978746098428388,-17.425431711146,-5.839416058394164,12.574850299401197,67.6401483544967,155.20298145790838,2.643171806167399,22.099854538612384,-4.332129963898912
2023,49.72067039106145,34.753363228699556,-2.896725440806047,10.169491525423723,21.055495034374495,-4.190476190476189,2.3068050749711633,2.4159663865546133,-55.159437533802055,-10.630841121495326,31.230031672406945,1.5898251192368873,4.716981132075482,-2.140945584299736,-2.696365767878073,11.451598656999451,8.185053380782925,-5.441420554080533,2.978815208208574,3.6121673003802313,1.5503875968992276,-34.57446808510638,13.428018076178173,-55.40408653846154,22.103004291845487,1.7816627429782628,1.132075471698113
2024,-8.208955223880599,19.966722129783697,-1.5564202334630295,-4.61538461538461,35.137992012973676,-47.76083499005964,20.180383314543416,21.641025641025635,17.769225016946045,24.96732026143791,10.713974841539686,13.302034428794984,20.849420849420852,24.886052871467633,56.385542168674704,-74.81048227710876,25.49342105263157,27.244408277498522,9.048386370444629,35.779816513761475,35.87786259541985,58.53658536585367,6.374501992031867,18.759938335157035,26.713532513181026,17.375125782647594,17.910447761194035
2025,-39.02439024390244,-14.979195561719838,-18.445322793148875,-29.032258064516125,-17.87036312063115,-22.99321695469554,-13.977485928705436,-21.416526138279934,-39.65908357716451,-19.874476987447697,-14.648749033617591,-17.817679558011047,-31.20340788072418,-14.67153284671533,-25.423728813559322,238.36258127665522,-4.3250327653997385,-26.95137957497472,96.66186078997123,2.43243243243243,-10.95505617977528,-36.410256410256416,-18.67308721241305,77.35385327628055,-26.0748959778086,-25.749073983117874,-3.797468354430378
